subID,part,block,trial,number,font_size,resp_RT
1,pre,0,92,7,100,0.440261512
1,pre,0,93,8,72,0.437249786
1,pre,0,94,6,72,0.368981044
1,pre,0,95,7,48,0.510770471
1,pre,0,96,9,48,0.442260311
1,pre,0,97,1,72,0.439474251
1,pre,0,98,7,94,0.463514634
1,pre,0,99,7,94,0.460373125
1,pre,0,100,4,120,0.424474523
1,pre,0,101,2,48,0.373074525
1,pre,0,102,4,100,0.36683123
1,pre,0,103,9,94,0.378562063
1,pre,0,104,9,72,0.422745906
1,pre,0,105,1,48,0.449323055
1,pre,0,106,2,120,0.41377819
1,pre,0,107,7,120,0.40764379
1,pre,0,108,5,94,0.483502628
1,pre,0,109,4,120,0.504712777
1,pre,0,110,0,48,0.74101422
1,pre,0,111,2,120,0.509946227
1,pre,0,112,5,100,0.388386897
1,pre,0,113,7,120,0.399904734
1,pre,0,114,9,94,0.377650156
1,pre,0,115,6,100,0.403855419
1,pre,0,116,4,100,0.351204844
1,pre,0,117,8,48,0.460325869
1,pre,0,118,4,120,0.389811773
1,pre,0,119,1,100,0.399630443
1,pre,0,120,1,120,0.344178741
1,pre,0,121,0,100,0.421115568
1,pre,0,122,5,48,0.383663676
1,pre,0,123,1,48,0.354431277
1,pre,0,124,0,100,0.38196622
1,pre,0,125,1,100,0.405724436
1,pre,0,126,1,72,0.433657632
1,pre,0,127,0,94,0.460122462
1,pre,0,128,2,72,0.442299691
1,pre,0,129,1,94,0.485216178
1,pre,0,130,8,100,0.431870115
1,pre,0,131,7,48,0.569701666
1,pre,0,132,5,94,0.469510005
1,pre,0,133,2,48,0.451014347
1,pre,0,134,1,100,0.415107527
1,pre,0,135,7,120,0.422658927
1,pre,0,136,7,72,0.451306103
1,pre,0,137,8,100,0.415176699
1,pre,0,138,2,94,0.443433839
1,pre,0,139,1,48,0.404335172
1,pre,0,140,3,94,0.366020341
1,pre,0,141,7,100,0.5053795
1,pre,0,142,8,48,0.472582684
1,pre,0,143,8,100,0.418186712
1,pre,0,144,9,72,0.429403206
1,pre,0,145,7,120,0.434867801
1,pre,0,146,4,100,0.352796487
1,pre,0,147,8,72,0.363829778
1,pre,0,148,3,94,0.37233726
1,pre,0,149,9,94,0.588952053
1,pre,0,150,4,100,0.423785884
1,pre,0,151,6,72,0.369627221
1,pre,0,152,2,48,0.366399076
1,pre,0,153,4,72,0.375947906
1,pre,0,154,3,48,0.434840406
1,pre,0,155,7,48,0.400091362
1,pre,0,156,6,48,0.379800312
